Plot Idnum ,old plot num,Year,Rep,Treatment-num,Treatment_st,Fert,Fert_st,Tillage,Tillage_st,Leaf_N_per,Leaf_P_per,Leaf_K_per,Leaf_Ca_per,Leaf_Mg_per,Leaf_S_per,Leaf_B_ppm,Leaf_Fe_ppm,Leaf_Mn_ppm,Leaf_Cu_ppm,Leaf_Zn_ppm,Leaf_Al_ppm,Leaf_Na_ppm
101,101-1,1990,1,1,CT_ctrl,1,Control,1,Conv,2.29,0.338,1.77,0.32,0.213,0.188,5.8,112.4,11.2,7,23.1,48.9,8.5
102,102-1,1990,1,2,CT_N,2,N_only,1,Conv,2.88,0.253,1.16,0.55,0.376,0.202,7.3,93,18.3,11.7,40.1,20.5,6.3
103,103-1,1990,1,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.11,0.275,1.44,0.47,0.271,0.19,6.3,91.4,17.5,10.2,20.4,19.1,8.7
104,104-1,1990,1,4,CT_NPK,4,NPK,1,Conv,3.48,0.285,1.73,0.44,0.223,0.186,6.7,88,13,9.4,21.3,17.4,6.5
105,105-1,1990,1,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,3.01,0.279,1.76,0.43,0.186,0.201,6.1,127.3,21.9,11.2,23.7,22.1,11.2
106,101-2,1990,1,6,AT_ctrl,1,Control,2,Alt,2.17,0.227,1.46,0.42,0.234,0.148,5.7,68.4,10.1,6,18.1,21.7,6.7
107,102-2,1990,1,7,AT_N,2,N_only,2,Alt,2.92,0.259,1.11,0.57,0.372,0.178,6.3,93.3,44.3,11.1,32.4,24.9,5.7
108,103-2,1990,1,8,AT_NwNPK,3,NplusNPKst,2,Alt,2.63,0.273,1.58,0.48,0.254,0.195,7,306.6,22.7,11.1,27.8,231.9,20
109,104-2,1990,1,9,AT_NPK,4,NPK,2,Alt,2.88,0.258,1.9,0.42,0.182,0.191,6.4,103.4,26.1,10.4,24.1,24.9,16.2
110,105-2,1990,1,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,3.63,0.278,1.74,0.4,0.172,0.184,6.3,117.7,19.4,10.2,23.6,15.7,6.5
111,101-3,1990,1,11,RT_ctrl,1,Control,3,Chisel,2.19,0.235,1.29,0.44,0.277,0.148,5.8,81.6,9,6.1,21.1,18.2,5.1
112,102-3,1990,1,12,RT_N,2,N_only,3,Chisel,3.32,0.247,1.11,0.6,0.43,0.191,6.6,94.2,15,10.4,36.7,22,6.7
113,103-3,1990,1,13,RT_NwNPK,3,NplusNPKst,3,Chisel,3.01,0.265,1.57,0.47,0.215,0.197,6.3,100.2,22.7,10.1,22.9,23.6,8.6
114,104-3,1990,1,14,RT_NPK,4,NPK,3,Chisel,2.83,0.256,1.68,0.45,0.22,0.189,6.6,93.2,15.2,9.4,19,22.9,9.4
115,105-3,1990,1,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,2.75,0.273,1.79,0.46,0.194,0.196,6.1,92.9,16.5,9.4,23.2,18,7.7
116,101-4,1990,1,16,NT_ctrl,1,Control,4,No_till,2.28,0.311,1.14,0.48,0.373,0.173,6.7,82.4,12.4,7.7,25.9,20.1,8.3
117,102-4,1990,1,17,NT_N,2,N_only,4,No_till,2.73,0.203,0.62,0.72,0.69,0.202,6.5,229.9,48.1,12.1,44.9,24.7,9.3
118,103-4,1990,1,18,NT_NwNPK,3,NplusNPKst,4,No_till,3.43,0.281,1.68,0.46,0.201,0.191,5.8,96,19.3,10.4,19.6,15.5,4.5
119,104-4,1990,1,19,NT_NPK,4,NPK,4,No_till,3.43,0.284,2.07,0.39,0.149,0.199,6.9,91.5,21.4,10.4,23.9,16.6,5.9
120,105-4,1990,1,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,3.05,0.267,1.84,0.38,0.171,0.186,5.8,95.7,23.4,9.2,21.6,19.5,12.4
201,201-1,1990,2,1,CT_ctrl,1,Control,1,Conv,1.77,0.237,1.38,0.39,0.245,0.142,5.7,90.2,10.3,5.7,18.9,18.6,7.6
202,202-1,1990,2,2,CT_N,2,N_only,1,Conv,3.44,0.254,1.1,0.62,0.421,0.199,6.8,161.6,22.2,12.4,37.8,22.2,7.9
203,203-1,1990,2,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.1,0.275,1.52,0.5,0.247,0.189,6.7,132,17.5,10.2,19.6,19.7,10.3
204,204-1,1990,2,4,CT_NPK,4,NPK,1,Conv,2.78,0.267,1.79,0.43,0.194,0.19,6.1,118.2,17.1,10.1,21.8,18.4,8.5
205,205-1,1990,2,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,3.05,0.259,1.78,0.43,0.185,0.191,5.8,101.3,18.3,9.7,20.3,23.4,8.8
206,201-2,1990,2,6,AT_ctrl,1,Control,2,Alt,2.31,0.241,1.58,0.34,0.209,0.15,5.7,78.8,9.3,5.6,17.3,25.4,5.1
207,202-2,1990,2,7,AT_N,2,N_only,2,Alt,3.31,0.246,1.34,0.48,0.326,0.196,7,88.1,33.3,12.1,35,16.1,5.1
208,203-2,1990,2,8,AT_NwNPK,3,NplusNPKst,2,Alt,3.05,0.258,1.47,0.43,0.207,0.192,6.4,99.1,30.9,10.4,22.8,22.8,7.1
209,204-2,1990,2,9,AT_NPK,4,NPK,2,Alt,3.51,0.262,1.72,0.41,0.178,0.181,6,84.3,17.8,9.4,20.4,14.8,6.9
210,205-2,1990,2,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,2.76,0.266,1.72,0.45,0.187,0.194,6.3,94.7,18.4,9.9,23.5,16.8,8.1
211,201-3,1990,2,11,RT_ctrl,1,Control,3,Chisel,2.65,0.245,1.42,0.42,0.226,0.157,6.1,72.8,10.9,6.4,24.6,19.3,7.7
212,202-3,1990,2,12,RT_N,2,N_only,3,Chisel,3.06,0.233,1.05,0.57,0.409,0.189,6,386.5,19.7,17.1,29.7,29.2,6.4
213,203-3,1990,2,13,RT_NwNPK,3,NplusNPKst,3,Chisel,2.77,0.269,1.54,0.5,0.227,0.193,6.4,94.3,16.7,9.9,21.2,17.8,8.5
214,204-3,1990,2,14,RT_NPK,4,NPK,3,Chisel,2.77,0.249,1.68,0.41,0.186,0.181,5.9,118.5,19.1,8.8,21.4,16.4,8.3
215,205-3,1990,2,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,3.24,0.274,1.58,0.46,0.193,0.184,5.9,100.7,15,8.2,19.1,19.3,8.8
216,201-4,1990,2,16,NT_ctrl,1,Control,4,No_till,2.65,0.308,0.95,0.44,0.36,0.15,5.4,77.5,11.2,6.7,21.1,18.6,9.4
217,202-4,1990,2,17,NT_N,2,N_only,4,No_till,2.96,0.248,1.04,0.63,0.455,0.207,6.1,126.2,18.9,11.7,44.2,22.9,6.4
218,203-4,1990,2,18,NT_NwNPK,3,NplusNPKst,4,No_till,3.07,0.259,1.55,0.41,0.24,0.184,5.6,92.6,21.9,9.1,19.5,21.5,9.7
219,204-4,1990,2,19,NT_NPK,4,NPK,4,No_till,3.41,0.283,1.96,0.4,0.144,0.197,6.9,95.5,26.1,10.6,25.5,17.9,7.1
220,205-4,1990,2,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,2.96,0.282,1.92,0.43,0.153,0.207,6.5,118.5,43.2,11.1,25.9,23.2,8.7
301,301-1,1990,3,1,CT_ctrl,1,Control,1,Conv,2.2,0.263,1.58,0.33,0.191,0.143,6.3,70.5,11.1,5,14.9,17,9
302,302-1,1990,3,2,CT_N,2,N_only,1,Conv,3.9,0.24,0.75,0.64,0.597,0.196,6.7,100.3,25.9,11.8,35.7,30.8,13.8
303,303-1,1990,3,3,CT_NwNPK,3,NplusNPKst,1,Conv,2.79,0.269,1.67,0.52,0.226,0.183,6.2,107.8,25.3,10,22.4,23.4,11.1
304,304-1,1990,3,4,CT_NPK,4,NPK,1,Conv,3.13,0.286,1.86,0.45,0.186,0.201,6.4,119.4,21.9,10.4,23.9,23.7,8
305,305-1,1990,3,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,2.8,0.283,1.86,0.45,0.182,0.193,6.1,138,17.7,10.1,21.4,18.5,8.1
306,301-2,1990,3,6,AT_ctrl,1,Control,2,Alt,1.72,0.253,1.22,0.43,0.286,0.144,6.1,70,11.1,5.7,21.1,17.6,4.4
307,302-2,1990,3,7,AT_N,2,N_only,2,Alt,3.44,0.27,1.12,0.58,0.399,0.204,7,101.5,45.1,13.3,38.4,30.1,4.6
308,303-2,1990,3,8,AT_NwNPK,3,NplusNPKst,2,Alt,2.81,0.274,1.52,0.5,0.225,0.193,6.2,113.1,19.3,10.1,26.4,19,7.8
309,304-2,1990,3,9,AT_NPK,4,NPK,2,Alt,3.35,0.29,1.9,0.41,0.164,0.185,6.7,92.8,22.9,10.1,22.6,18,6
310,305-2,1990,3,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,3.88,0.259,1.77,0.42,0.193,0.18,6.7,97.3,23.6,10.1,19.4,24.6,9.8
311,301-3,1990,3,11,RT_ctrl,1,Control,3,Chisel,1.83,0.255,1.6,0.39,0.209,0.151,6,142.3,12.2,5.9,23.9,19.3,10
312,302-3,1990,3,12,RT_N,2,N_only,3,Chisel,3.81,0.272,1.02,0.68,0.444,0.193,6.3,112,20.1,10.6,32.3,25,8.7
313,303-3,1990,3,13,RT_NwNPK,3,NplusNPKst,3,Chisel,2.98,0.28,1.39,0.53,0.289,0.195,5.7,100.8,20.4,10.6,20.4,25.8,12.7
314,304-3,1990,3,14,RT_NPK,4,NPK,3,Chisel,2.71,0.254,1.67,0.46,0.199,0.182,6.1,118.5,17.9,9.1,22.1,18.6,12.2
315,305-3,1990,3,15,RT_NPKwNPK,5,NPKplusNPKst,3,Chisel,3.41,0.283,1.67,0.5,0.197,0.198,6.4,122.4,17.3,9.7,23.4,23.7,13.1
316,301-4,1990,3,16,NT_ctrl,1,Control,4,No_till,1.92,0.358,0.67,0.58,0.585,0.17,6,110.3,14.9,7.3,26.3,25.2,9.5
317,302-4,1990,3,17,NT_N,2,N_only,4,No_till,3.01,0.255,0.73,0.79,0.683,0.214,7,119.4,21.9,12.6,46.9,27.5,7.7
318,303-4,1990,3,18,NT_NwNPK,3,NplusNPKst,4,No_till,3.3,0.281,1.79,0.43,0.185,0.194,6.5,169,29.7,10.7,25.9,21.1,7.3
319,304-4,1990,3,19,NT_NPK,4,NPK,4,No_till,3.24,0.266,1.91,0.39,0.162,0.188,5,96.1,22.8,9.4,20.4,20.8,5.4
320,305-4,1990,3,20,NT_NPKwNPK,5,NPKplusNPKst,4,No_till,3.02,0.277,1.88,0.4,0.141,0.181,6.1,91.6,19.5,9.6,20.6,16.9,6.7
401,401-1,1990,4,1,CT_ctrl,1,Control,1,Conv,1.81,0.268,1.57,0.32,0.203,0.146,5,78.5,9.8,5.1,14.1,26.9,4.9
402,402-1,1990,4,2,CT_N,2,N_only,1,Conv,2.85,0.242,0.94,0.65,0.498,0.203,6.7,99.4,40.1,12,40.5,25.4,5.7
403,403-1,1990,4,3,CT_NwNPK,3,NplusNPKst,1,Conv,3.59,0.276,1.49,0.48,0.234,0.182,6.3,115.1,19.7,9,18.2,17.7,6.7
404,404-1,1990,4,4,CT_NPK,4,NPK,1,Conv,3.15,0.279,1.75,0.44,0.171,0.198,6.2,94.4,21.8,10.4,23.1,19.3,7.7
405,405-1,1990,4,5,CT_NPKwNPK,5,NPKplusNPKst,1,Conv,2.84,0.285,1.87,0.45,0.177,0.2,6.5,127.4,18.7,10.4,24.2,20.7,6.7
406,401-2,1990,4,6,AT_ctrl,1,Control,2,Alt,1.6,0.16,0.77,0.23,0.147,0.08,6.2,63.3,6,3.2,11.5,10,5.6
407,402-2,1990,4,7,AT_N,2,N_only,2,Alt,2.88,0.225,0.96,0.57,0.46,0.182,8.1,3374.1,57.5,20,38.7,114.7,11.6
408,403-2,1990,4,8,AT_NwNPK,3,NplusNPKst,2,Alt,2.53,0.26,1.6,0.47,0.224,0.182,6.2,141.8,22.4,9.9,25.6,20.4,12.5
409,404-2,1990,4,9,AT_NPK,4,NPK,2,Alt,3.08,0.261,1.68,0.44,0.189,0.18,5.8,92,23.9,9.4,21.7,16.8,7.4
410,405-2,1990,4,10,AT_NPKwNPK,5,NPKplusNPKst,2,Alt,2.54,0.249,1.82,0.4,0.162,0.18,6.4,279.5,31.4,10.1,25.3,24.2,18.9
